Subject,Start Date,Start Time,End Time,Description,Location,Repeat
數學A,06/23/2025,09:00,09:50,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101206.HTML'>206</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=MO;WKST=MO
數學A,06/23/2025,15:10,16:00,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101205.HTML'>205</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=MO;WKST=MO
＊特殊需求課程-學習策略(數學),06/23/2025,16:10,17:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=MO;WKST=MO
數學A,06/24/2025,11:10,12:00,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101205.HTML'>205</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TU;WKST=MO
＊特殊需求課程-學習策略(數學),06/24/2025,16:10,17:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TU;WKST=MO
數學A,06/25/2025,11:10,12:00,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101206.HTML'>206</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=WE;WKST=MO
＊特殊需求課程-學習策略(數學),06/25/2025,16:10,17:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=WE;WKST=MO
數學A,06/26/2025,14:10,15:00,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101206.HTML'>206</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TH;WKST=MO
數學A,06/26/2025,15:10,16:00,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101205.HTML'>205</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TH;WKST=MO
＊特殊需求課程-學習策略(數學),06/26/2025,16:10,17:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TH;WKST=MO
數學A,06/27/2025,08:00,08:50,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101206.HTML'>206</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=FR;WKST=MO
數學A,06/27/2025,13:10,14:00,"對象：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/C101205.HTML'>205</a>
課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=FR;WKST=MO
＊特殊需求課程-學習策略(數學),06/23/2025,12:10,13:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=MO;WKST=MO
＊特殊需求課程-學習策略(數學),06/24/2025,12:10,13:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TU;WKST=MO
＊特殊需求課程-學習策略(數學),06/25/2025,12:10,13:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=WE;WKST=MO
＊特殊需求課程-學習策略(數學),06/26/2025,12:10,13:00,"課表連結：<a href='http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC32.html'>陳暐捷-課表</a>
南一中官網：<a href='https://www.tnfsh.tn.edu.tw'>南一中官網</a>
南一中官網-課程資訊：<a href='https://www.tnfsh.tn.edu.tw/latestevent/index.aspx?Parser=22,4,25'>教學進度、總體計畫、多元選修等等</a>",,FREQ=WEEKLY;COUNT=2;BYDAY=TH;WKST=MO
